INT_SQFT,N_BEDROOM,N_BATHROOM,N_OTHER_ROOM,PARK_FACIL,HOUSE_AGE,SALES_PRICE,AREA_Adyar,AREA_AnnaNagar,AREA_Chromepet,AREA_KKNagar,AREA_Karapakkam,AREA_TNagar,AREA_Velachery
1622,1,1,2,1,5,13063450,0,1,0,0,0,0,0
2198,3,2,0,1,20,13584980,0,0,0,1,0,0,0
1293,2,1,1,0,39,13116050,0,0,1,0,0,0,0
1641,2,1,1,0,29,10012600,0,0,0,1,0,0,0
1950,3,2,0,1,40,12105920,0,0,0,0,0,0,1
1245,1,1,1,0,28,4918375,0,0,0,0,1,0,0
905,1,1,1,0,33,7703200,0,0,1,0,0,0,0
1496,2,1,1,0,14,8569080,0,0,0,1,0,0,0
1892,3,2,0,1,36,12146620,0,0,0,0,0,0,1
1517,2,1,1,0,10,11671620,0,0,0,0,0,0,1
1034,1,1,1,1,16,9256740,1,0,0,0,0,0,0
1755,2,1,1,1,35,14915900,0,0,0,0,0,0,1
1622,1,1,2,1,7,13547790,0,1,0,0,0,0,0
1092,1,1,1,0,4,8213040,0,0,1,0,0,0,0
821,1,1,1,0,7,7304000,0,0,1,0,0,0,0
1694,2,1,1,0,10,10390900,0,0,0,1,0,0,0
1809,2,1,2,0,26,19206870,0,1,0,0,0,0,0
1401,2,2,0,1,13,9965375,0,0,0,0,1,0,0
1470,2,2,0,0,24,7207000,0,0,0,0,1,0,0
798,1,1,0,0,37,9070550,0,0,1,0,0,0,0
764,1,1,0,0,8,5670200,0,0,1,0,0,0,0
1135,1,1,1,0,23,9253200,0,0,1,0,0,0,0
939,1,1,1,0,38,4294000,0,0,0,0,1,0,0
1586,2,2,0,1,28,14316000,0,0,0,0,1,0,0
1973,2,1,2,1,34,23307000,0,0,0,0,0,1,0
1023,1,1,1,1,17,9735150,0,0,1,0,0,0,0
884,1,1,1,0,4,11336400,0,0,1,0,0,0,0
1640,1,1,2,0,5,17701600,0,1,0,0,0,0,0
622,1,1,0,0,20,6572900,1,0,0,0,0,0,0
1880,2,1,2,1,16,13423020,0,1,0,0,0,0,0
2413,4,2,0,0,9,13122040,0,0,0,1,0,0,0
1649,1,1,2,0,24,18939100,0,0,0,0,0,1,0
1729,2,1,1,1,41,12803570,0,0,0,0,0,0,1
1942,2,1,2,0,37,12330740,0,0,0,0,0,1,0
711,1,1,0,1,12,8050270,0,0,1,0,0,0,0
885,1,1,1,0,32,7194600,0,0,1,0,0,0,0
1688,2,1,1,1,15,11412700,0,0,0,1,0,0,0
1236,2,2,0,0,37,12035355,1,0,0,0,0,0,0
926,1,1,1,0,20,6877000,0,0,0,0,1,0,0
1686,2,1,1,0,23,10346400,0,0,0,1,0,0,0
1344,2,2,0,0,50,10809500,0,0,0,0,1,0,0
1437,2,1,1,0,22,10200600,0,0,0,1,0,0,0
1430,2,2,0,1,9,6635750,0,0,0,0,1,0,0
1081,1,1,1,0,30,6190150,1,0,0,0,0,0,0
1352,2,2,0,1,27,6507250,0,0,0,0,1,0,0
1986,3,2,0,0,30,11350400,0,0,0,1,0,0,0
1758,1,1,2,1,41,19285540,0,1,0,0,0,0,0
607,1,1,0,0,45,5856625,0,0,0,0,1,0,0
2139,3,2,0,1,21,12472000,0,0,0,1,0,0,0
1488,2,1,1,0,26,8441900,0,0,0,1,0,0,0
1645,2,1,1,0,25,7579320,0,0,0,0,0,0,1
950,1,1,1,1,25,9759000,0,0,1,0,0,0,0
928,1,1,1,1,4,12423800,0,0,1,0,0,0,0
1693,2,1,1,1,53,15495760,0,0,0,0,0,0,1
1873,3,2,0,1,20,11022270,0,0,0,0,0,0,1
721,1,1,0,0,9,7605550,1,0,0,0,0,0,0
1190,1,1,1,1,28,7967750,0,0,0,0,1,0,0
1593,2,1,1,0,17,8946800,0,0,0,1,0,0,0
786,1,1,0,1,12,9244820,0,0,1,0,0,0,0
1195,1,1,1,0,18,9821600,0,0,1,0,0,0,0
1824,3,2,0,0,32,8549060,0,0,0,0,0,0,1
1906,3,2,0,1,7,15852740,0,0,0,1,0,0,0
656,1,1,0,0,9,8757635,1,0,0,0,0,0,0
727,1,1,0,0,16,8415990,0,0,1,0,0,0,0
931,1,1,1,1,33,9935595,1,0,0,0,0,0,0
1898,3,2,0,1,38,16617860,0,0,0,0,0,0,1
1698,1,1,2,0,40,12412050,0,1,0,0,0,0,0
1926,2,1,2,1,17,22630540,0,0,0,0,0,1,0
1481,2,2,0,1,38,9901500,0,0,0,0,1,0,0
1506,1,1,2,0,32,10449910,0,1,0,0,0,0,0
1020,1,1,1,0,23,7948600,0,0,1,0,0,0,0
889,1,1,1,0,21,9098680,0,0,1,0,0,0,0
1015,1,1,1,1,35,8342850,0,0,1,0,0,0,0
1682,1,1,2,0,34,18662350,0,0,0,0,0,1,0
869,1,1,1,0,17,8172630,0,0,1,0,0,0,0
1445,2,2,0,0,24,5856500,0,0,0,0,1,0,0
1919,2,1,2,1,13,14704160,0,1,0,0,0,0,0
1243,2,2,0,1,36,13360440,1,0,0,0,0,0,0
857,1,1,0,0,16,4928250,0,0,0,0,1,0,0
1055,1,1,1,1,47,7315125,0,0,0,0,1,0,0
1778,3,2,0,0,7,10998320,0,0,0,1,0,0,0
851,1,1,0,0,41,3936375,0,0,0,0,1,0,0
1021,1,1,1,1,3,9201770,0,0,1,0,0,0,0
2203,3,2,0,1,21,17891240,0,0,0,1,0,0,0
613,1,1,0,0,29,5144500,0,0,0,0,1,0,0
738,1,1,0,0,17,8312670,1,0,0,0,0,0,0
1489,2,2,0,0,28,8007250,0,0,0,0,1,0,0
795,1,1,0,1,9,8479250,0,0,0,0,1,0,0
1909,3,2,0,1,33,10129160,0,0,0,0,0,0,1
1252,2,1,1,0,12,9482200,0,0,1,0,0,0,0
1077,1,1,1,0,33,9846750,0,0,0,0,1,0,0
1524,2,1,1,0,27,8675820,0,0,0,1,0,0,0
1049,1,1,1,1,11,10262450,0,0,1,0,0,0,0
1780,2,1,1,0,54,8671050,0,0,0,0,0,0,1
946,1,1,1,0,17,11165550,0,0,1,0,0,0,0
906,1,1,1,1,32,9464800,0,0,1,0,0,0,0
2344,4,2,0,0,24,18849880,0,0,0,1,0,0,0
929,1,1,1,1,15,9480425,1,0,0,0,0,0,0
1843,2,1,2,0,14,12264750,0,1,0,0,0,0,0
1918,2,1,2,1,34,21875050,0,1,0,0,0,0,0
1507,2,1,1,1,18,13538580,0,0,0,1,0,0,0
1499,2,1,1,0,6,8876320,0,0,0,1,0,0,0
1526,2,1,1,1,21,13645040,0,0,0,1,0,0,0
1855,2,1,2,1,10,20996200,0,1,0,0,0,0,0
1627,2,2,0,1,30,9071125,0,0,0,0,1,0,0
1846,3,2,0,0,38,10815830,0,0,0,0,0,0,1
2019,3,2,0,1,15,12802500,0,0,0,1,0,0,0
1578,2,2,0,1,13,9532500,0,0,0,0,1,0,0
1780,2,1,1,1,25,13346700,0,0,0,0,0,0,1
662,1,1,0,0,38,4356500,0,0,0,0,1,0,0
1005,1,1,1,0,26,12257100,0,0,1,0,0,0,0
839,1,1,0,0,20,4100500,0,0,0,0,1,0,0
1698,1,1,2,0,33,11527430,0,1,0,0,0,0,0
878,1,1,1,1,19,6452785,1,0,0,0,0,0,0
835,1,1,1,1,37,8434750,0,0,1,0,0,0,0
911,1,1,1,1,33,7427820,0,0,1,0,0,0,0
1796,2,1,1,1,50,9105350,0,0,0,0,0,0,1
1004,1,1,1,0,28,4721500,0,0,0,0,1,0,0
1694,1,1,2,0,27,12575010,0,1,0,0,0,0,0
1244,1,1,1,1,31,7952750,0,0,0,0,1,0,0
588,1,1,0,0,24,5705500,0,0,0,0,1,0,0
2342,4,2,0,1,6,12898740,0,0,0,1,0,0,0
1835,3,2,0,0,28,10722580,0,0,0,0,0,0,1
1977,2,1,2,1,43,14102960,0,1,0,0,0,0,0
1961,3,2,0,1,14,17612900,0,0,0,1,0,0,0
1517,2,1,1,1,12,7146890,0,0,0,0,0,0,1
2409,4,2,0,1,25,13476480,0,0,0,1,0,0,0
1864,3,2,0,0,23,15100560,0,0,0,0,0,0,1
1643,2,1,1,1,31,15599020,0,0,0,0,0,0,1
1015,1,1,1,1,8,11224620,1,0,0,0,0,0,0
1700,1,1,2,1,31,12477040,0,1,0,0,0,0,0
624,1,1,0,0,31,4396250,0,0,0,0,1,0,0
980,1,1,1,0,17,11900750,0,0,1,0,0,0,0
1003,1,1,1,1,20,10090000,0,0,0,0,1,0,0
1072,1,1,1,1,6,6607690,1,0,0,0,0,0,0
808,1,1,0,0,35,4752250,0,0,0,0,1,0,0
1027,1,1,1,0,21,7441350,0,0,1,0,0,0,0
696,1,1,0,0,11,6441250,0,0,0,0,1,0,0
1716,2,1,1,1,8,10359860,0,0,0,0,0,0,1
1878,3,2,0,0,6,14328720,0,0,0,0,0,0,1
1699,2,1,1,1,16,11444100,0,0,0,1,0,0,0
1626,2,1,1,0,23,9680280,0,0,0,1,0,0,0
1730,2,1,1,0,18,14739360,0,0,0,1,0,0,0
996,1,1,1,0,21,8939620,0,0,1,0,0,0,0
1277,2,1,1,1,16,15710400,0,0,1,0,0,0,0
906,1,1,1,0,31,10226600,0,0,1,0,0,0,0
1976,2,1,2,0,39,12300050,0,1,0,0,0,0,0
1776,2,1,1,1,21,9989170,0,0,0,0,0,0,1
1402,2,2,0,0,30,6966500,0,0,0,0,1,0,0
1160,1,1,1,1,30,9463900,0,0,1,0,0,0,0
1957,3,2,0,1,25,15199450,0,0,0,0,0,0,1
1887,2,1,2,0,20,20499450,0,0,0,0,0,1,0
1859,3,2,0,1,47,9925210,0,0,0,0,0,0,1
747,1,1,0,1,5,11223550,0,0,1,0,0,0,0
985,1,1,1,1,7,7379505,1,0,0,0,0,0,0
1024,1,1,1,1,16,12091400,0,0,1,0,0,0,0
1600,2,1,1,1,25,10530200,0,0,0,0,0,0,1
1276,2,1,1,0,36,9604120,0,0,1,0,0,0,0
1159,1,1,1,1,36,9062800,0,0,1,0,0,0,0
1024,1,1,1,1,50,4748500,0,0,0,0,1,0,0
1249,2,2,0,0,18,12642285,1,0,0,0,0,0,0
839,1,1,1,1,16,9107430,0,0,1,0,0,0,0
1286,2,1,1,0,34,9153300,0,0,1,0,0,0,0
2467,4,2,0,0,15,12650920,0,0,0,1,0,0,0
653,1,1,0,0,15,7635250,0,0,0,0,1,0,0
606,1,1,0,1,17,7854000,0,0,0,0,1,0,0
1837,2,1,2,1,28,13197230,0,0,0,0,0,1,0
1880,3,2,0,1,46,13669670,0,0,0,0,0,0,1
2189,3,2,0,1,22,18249860,0,0,0,1,0,0,0
1853,3,2,0,1,49,14707330,0,0,0,0,0,0,1
1057,1,1,1,0,17,9144840,0,0,1,0,0,0,0
723,1,1,0,0,27,10969920,1,0,0,0,0,0,0
1812,2,1,2,0,44,12248640,0,0,0,0,0,1,0
1788,1,1,2,1,16,14225180,0,0,0,0,0,1,0
1615,2,1,1,0,18,8019280,0,0,0,0,0,0,1
1755,1,1,2,0,43,11410310,0,1,0,0,0,0,0
1296,2,2,0,0,20,9950600,1,0,0,0,0,0,0
1554,2,1,1,1,6,9980320,0,0,0,1,0,0,0
1737,1,1,2,1,9,14292780,0,1,0,0,0,0,0
785,1,1,0,1,12,5752875,0,0,0,0,1,0,0
1678,2,2,0,1,35,11883250,0,0,0,0,1,0,0
2360,4,2,0,1,9,19816180,0,0,0,1,0,0,0
1464,2,1,1,1,28,9394640,0,0,0,1,0,0,0
1632,2,1,1,1,19,10506420,0,0,0,1,0,0,0
1755,2,1,1,1,25,8762820,0,0,0,0,0,0,1
1556,2,1,1,0,20,9348100,0,0,0,0,0,0,1
1170,1,1,1,0,36,9134740,1,0,0,0,0,0,0
901,1,1,1,0,37,7643255,1,0,0,0,0,0,0
1160,1,1,1,1,19,8886250,0,0,0,0,1,0,0
1570,2,2,0,1,8,6407000,0,0,0,0,1,0,0
1476,2,2,0,0,32,11536000,0,0,0,0,1,0,0
586,1,1,0,1,19,5333000,0,0,0,0,1,0,0
1059,1,1,1,1,33,7849250,0,0,0,0,1,0,0
1712,1,1,2,1,6,13797720,0,0,0,0,0,1,0
847,1,1,1,0,39,7492300,1,0,0,0,0,0,0
1192,1,1,1,0,23,5342250,0,0,0,0,1,0,0
1942,3,2,0,1,25,16212650,0,0,0,0,0,0,1
557,1,1,0,1,17,4710125,0,0,0,0,1,0,0
1728,2,1,1,1,19,14898480,0,0,0,0,0,0,1
1798,2,1,1,1,28,17060380,0,0,0,0,0,0,1
1497,2,2,0,1,34,6931750,0,0,0,0,1,0,0
1173,1,1,1,1,32,8196400,0,0,1,0,0,0,0
1640,1,1,2,1,36,17704670,0,1,0,0,0,0,0
1747,2,1,1,1,16,10784680,0,0,0,1,0,0,0
1342,2,2,0,1,43,9594250,0,0,0,0,1,0,0
2000,2,1,2,0,27,13596890,0,0,0,0,0,1,0
1987,3,2,0,0,11,11156320,0,0,0,0,0,0,1
1567,2,2,0,0,16,7725875,0,0,0,0,1,0,0
1188,1,1,1,0,34,9819500,0,0,0,0,1,0,0
737,1,1,0,0,32,3869180,1,0,0,0,0,0,0
785,1,1,0,1,13,5852625,0,0,0,0,1,0,0
2078,3,2,0,0,21,9696820,0,0,0,1,0,0,0
647,1,1,0,1,10,9574550,1,0,0,0,0,0,0
1171,1,1,1,1,16,6102625,0,0,0,0,1,0,0
2435,4,2,0,1,18,20246360,0,0,0,1,0,0,0
1805,3,2,0,1,15,16930470,0,0,0,0,0,0,1
1145,1,1,1,0,17,5510250,0,0,0,0,1,0,0
971,1,1,1,0,27,6530500,0,0,0,0,1,0,0
1657,2,2,0,1,38,10147125,0,0,0,0,1,0,0
1638,2,1,1,1,5,9705900,0,0,0,0,0,0,1
1284,2,2,0,1,5,16107475,1,0,0,0,0,0,0
1273,2,2,0,0,5,7451690,1,0,0,0,0,0,0
1185,1,1,1,1,20,10163000,0,0,1,0,0,0,0
1538,1,1,2,1,5,19376950,0,0,0,0,0,1,0
1929,3,2,0,0,29,10173980,0,0,0,1,0,0,0
1656,2,1,1,1,15,10910100,0,0,0,1,0,0,0
1287,2,2,0,1,15,15013625,1,0,0,0,0,0,0
1749,1,1,2,0,32,11713410,0,0,0,0,0,1,0
1585,1,1,2,0,17,17382790,0,1,0,0,0,0,0
1962,2,1,2,1,33,15862990,0,0,0,0,0,1,0
1425,2,1,1,0,14,8677280,0,0,0,1,0,0,0
884,1,1,0,1,25,8282500,0,0,0,0,1,0,0
1052,1,1,1,0,10,7926740,0,0,1,0,0,0,0
1756,1,1,2,0,31,12093570,0,0,0,0,0,1,0
523,1,1,0,1,37,7390000,0,0,0,0,1,0,0
1524,2,1,1,1,22,11053290,0,0,0,0,0,0,1
1949,2,1,2,1,43,14464930,0,0,0,0,0,1,0
1263,2,1,1,0,22,10637010,0,0,1,0,0,0,0
1917,3,2,0,1,18,11045960,0,0,0,1,0,0,0
1401,2,1,1,0,19,7410200,0,0,0,1,0,0,0
723,1,1,0,0,17,8645860,0,0,1,0,0,0,0
1660,1,1,2,0,37,17787740,0,0,0,0,0,1,0
895,1,1,1,1,5,8514750,0,0,1,0,0,0,0
1889,2,1,2,1,45,13841050,0,1,0,0,0,0,0
1199,1,1,1,0,25,9160580,0,0,1,0,0,0,0
782,1,1,0,1,14,7794500,0,0,0,0,1,0,0
1571,1,1,2,1,25,12946530,0,1,0,0,0,0,0
1848,3,2,0,1,24,15883280,0,0,0,1,0,0,0
1131,1,1,1,1,20,10089670,0,0,1,0,0,0,0
1062,1,1,1,1,21,5335750,0,0,0,0,1,0,0
1983,3,2,0,1,24,12126880,0,0,0,1,0,0,0
1572,2,1,1,0,20,8165450,0,0,0,0,0,0,1
1535,1,1,2,0,31,11484740,0,1,0,0,0,0,0
1818,2,1,2,1,32,22024740,0,0,0,0,0,1,0
1484,2,1,1,1,27,9771020,0,0,0,1,0,0,0
2189,3,2,0,0,15,12071880,0,0,0,1,0,0,0
1203,2,1,1,0,17,12925550,0,0,1,0,0,0,0
1610,2,1,1,1,23,15387480,0,0,0,1,0,0,0
863,1,1,1,1,7,6637005,1,0,0,0,0,0,0
985,1,1,1,0,20,7446875,0,0,0,0,1,0,0
1623,2,2,0,0,38,11658500,0,0,0,0,1,0,0
1019,1,1,1,0,28,6663435,1,0,0,0,0,0,0
1575,2,2,0,1,8,9894250,0,0,0,0,1,0,0
802,1,1,1,0,8,7968490,0,0,1,0,0,0,0
1846,2,1,2,0,34,12403760,0,0,0,0,0,1,0
759,1,1,0,0,15,8149280,0,0,1,0,0,0,0
2060,3,2,0,0,30,16012600,0,0,0,1,0,0,0
1503,2,1,1,1,19,11121040,0,0,0,1,0,0,0
1853,3,2,0,1,48,9462230,0,0,0,0,0,0,1
1739,1,1,2,1,37,20477590,0,0,0,0,0,1,0
766,1,1,0,1,50,8755500,0,0,0,0,1,0,0
857,1,1,1,1,26,8471590,0,0,1,0,0,0,0
1887,2,1,2,0,38,13024030,0,0,0,0,0,1,0
1502,2,2,0,0,7,8215250,0,0,0,0,1,0,0
1568,2,1,1,0,30,6361850,0,0,0,0,0,0,1
918,1,1,1,0,22,10929300,0,0,1,0,0,0,0
1289,2,2,0,0,40,14634500,1,0,0,0,0,0,0
1941,3,2,0,0,20,12228420,0,0,0,1,0,0,0
1730,2,1,1,1,23,10494410,0,0,0,0,0,0,1
1513,2,1,1,1,27,12350640,0,0,0,0,0,0,1
1762,2,1,1,1,24,9071080,0,0,0,0,0,0,1
1970,2,1,2,1,33,12450910,0,1,0,0,0,0,0
1702,2,1,1,0,44,12225650,0,0,0,0,0,0,1
1726,2,1,1,0,21,6804640,0,0,0,0,0,0,1
1243,2,1,1,1,8,15495150,0,0,1,0,0,0,0
1550,2,1,1,1,14,12456680,0,0,0,0,0,0,1
1830,3,2,0,1,14,16312280,0,0,0,1,0,0,0
1435,2,2,0,1,33,9753250,0,0,0,0,1,0,0
1729,2,1,1,1,5,10629750,0,0,0,0,0,0,1
1572,1,1,2,1,18,20715860,0,0,0,0,0,1,0
1145,1,1,1,1,16,14297200,0,0,1,0,0,0,0
1043,1,1,1,1,29,8317410,0,0,1,0,0,0,0
1332,1,1,1,0,44,8261500,0,0,0,0,1,0,0
608,1,1,0,1,14,6206250,0,0,0,0,1,0,0
676,1,1,0,1,31,8400465,1,0,0,0,0,0,0
1685,2,1,1,1,36,11104320,0,0,0,0,0,0,1
658,1,1,0,0,38,6083885,1,0,0,0,0,0,0
1008,1,1,1,0,32,8836160,0,0,1,0,0,0,0
1924,2,1,2,0,31,13620040,0,1,0,0,0,0,0
2112,3,2,0,0,13,16756460,0,0,0,1,0,0,0
917,1,1,1,1,37,11889950,0,0,1,0,0,0,0
1353,2,2,0,1,7,8573875,0,0,0,0,1,0,0
1694,1,1,2,1,20,14054970,0,1,0,0,0,0,0
1625,1,1,2,1,43,18316110,0,1,0,0,0,0,0
1882,2,1,2,1,5,14761860,0,1,0,0,0,0,0
1924,2,1,2,1,23,22123260,0,0,0,0,0,1,0
894,1,1,1,0,28,10882400,0,0,1,0,0,0,0
904,1,1,1,1,39,6863000,0,0,0,0,1,0,0
1279,2,2,0,0,33,9792910,1,0,0,0,0,0,0
1547,2,1,1,0,47,10090590,0,0,0,0,0,0,1
626,1,1,0,0,25,5072750,0,0,0,0,1,0,0
1673,1,1,2,0,44,12156320,0,0,0,0,0,1,0
1296,2,1,1,1,14,10741020,0,0,1,0,0,0,0
2194,3,2,0,0,6,16805520,0,0,0,1,0,0,0
1678,2,1,1,0,15,13586120,0,0,0,1,0,0,0
702,1,1,0,1,17,8021300,0,0,1,0,0,0,0
1067,1,1,1,1,27,7960405,1,0,0,0,0,0,0
980,1,1,1,1,25,11847350,0,0,1,0,0,0,0
1989,3,2,0,1,20,11985600,0,0,0,1,0,0,0
1257,2,1,1,0,34,13788450,0,0,1,0,0,0,0
1069,1,1,1,1,21,10080280,0,0,1,0,0,0,0
606,1,1,0,0,13,6564750,0,0,0,0,1,0,0
1449,2,2,0,1,36,8861500,0,0,0,0,1,0,0
1154,1,1,1,0,12,7880000,0,0,0,0,1,0,0
927,1,1,1,0,33,12682895,1,0,0,0,0,0,0
1613,2,2,0,1,31,10169625,0,0,0,0,1,0,0
1851,3,2,0,1,55,11959100,0,0,0,0,0,0,1
1511,2,1,1,0,45,10391900,0,0,0,0,0,0,1
1765,2,1,1,0,29,9338880,0,0,0,1,0,0,0
1238,1,1,1,1,17,11329750,0,0,0,0,1,0,0
934,1,1,1,1,22,8469050,0,0,1,0,0,0,0
754,1,1,0,1,35,7705800,0,0,1,0,0,0,0
1736,1,1,2,1,10,14057180,0,0,0,0,0,1,0
980,1,1,1,1,33,8621500,0,0,1,0,0,0,0
1299,1,1,1,0,46,9338500,0,0,0,0,1,0,0
849,1,1,0,0,36,5668875,0,0,0,0,1,0,0
1450,2,1,1,1,21,10040420,0,0,0,1,0,0,0
1634,1,1,2,1,31,12730270,0,0,0,0,0,1,0
1320,1,1,1,1,6,11071500,0,0,0,0,1,0,0
769,1,1,0,1,7,7261650,0,0,1,0,0,0,0
1150,1,1,1,1,32,6982000,0,0,0,0,1,0,0
908,1,1,1,0,36,7546960,0,0,1,0,0,0,0
1668,2,2,0,1,5,13650500,0,0,0,0,1,0,0
1990,3,2,0,0,5,10652120,0,0,0,1,0,0,0
1857,2,1,2,0,35,13378610,0,1,0,0,0,0,0
2061,3,2,0,1,14,17265880,0,0,0,1,0,0,0
