AREA,INT_SQFT,N_BEDROOM,N_BATHROOM,N_OTHER_ROOM,PARK_FACIL,HOUSE_AGE,SALES_PRICE
KKNagar,1986,3,2,0,0,30,11350400
AnnaNagar,1758,1,1,2,1,41,19285540
Karapakkam,607,1,1,0,0,45,5856625
KKNagar,2139,3,2,0,1,21,12472000
KKNagar,1488,2,1,1,0,26,8441900
Velachery,1645,2,1,1,0,25,7579320
Chromepet,950,1,1,1,1,25,9759000
Chromepet,928,1,1,1,1,4,12423800
Velachery,1693,2,1,1,1,53,15495760
Velachery,1873,3,2,0,1,20,11022270
Adyar,721,1,1,0,0,9,7605550
Karapakkam,1190,1,1,1,1,28,7967750
KKNagar,1593,2,1,1,0,17,8946800
Chromepet,786,1,1,0,1,12,9244820
Chromepet,1195,1,1,1,0,18,9821600
Velachery,1824,3,2,0,0,32,8549060
KKNagar,1906,3,2,0,1,7,15852740
Adyar,656,1,1,0,0,9,8757635
Chromepet,727,1,1,0,0,16,8415990
Adyar,931,1,1,1,1,33,9935595
Velachery,1898,3,2,0,1,38,16617860
AnnaNagar,1698,1,1,2,0,40,12412050
TNagar,1926,2,1,2,1,17,22630540
Karapakkam,1481,2,2,0,1,38,9901500
AnnaNagar,1506,1,1,2,0,32,10449910
Chromepet,1020,1,1,1,0,23,7948600
Chromepet,889,1,1,1,0,21,9098680
Chromepet,1015,1,1,1,1,35,8342850
TNagar,1682,1,1,2,0,34,18662350
Chromepet,869,1,1,1,0,17,8172630
Karapakkam,1445,2,2,0,0,24,5856500
AnnaNagar,1919,2,1,2,1,13,14704160
Adyar,1243,2,2,0,1,36,13360440
Karapakkam,857,1,1,0,0,16,4928250
Karapakkam,1055,1,1,1,1,47,7315125
KKNagar,1778,3,2,0,0,7,10998320
Karapakkam,851,1,1,0,0,41,3936375
Chromepet,1021,1,1,1,1,3,9201770
KKNagar,2203,3,2,0,1,21,17891240
Karapakkam,613,1,1,0,0,29,5144500
Adyar,738,1,1,0,0,17,8312670
Karapakkam,1489,2,2,0,0,28,8007250
Karapakkam,795,1,1,0,1,9,8479250
Velachery,1909,3,2,0,1,33,10129160
Chromepet,1252,2,1,1,0,12,9482200
Karapakkam,1077,1,1,1,0,33,9846750
KKNagar,1524,2,1,1,0,27,8675820
Chromepet,1049,1,1,1,1,11,10262450
Velachery,1780,2,1,1,0,54,8671050
Chromepet,946,1,1,1,0,17,11165550
Chromepet,906,1,1,1,1,32,9464800
KKNagar,2344,4,2,0,0,24,18849880
Adyar,929,1,1,1,1,15,9480425
AnnaNagar,1843,2,1,2,0,14,12264750
AnnaNagar,1918,2,1,2,1,34,21875050
KKNagar,1507,2,1,1,1,18,13538580
KKNagar,1499,2,1,1,0,6,8876320
KKNagar,1526,2,1,1,1,21,13645040
AnnaNagar,1855,2,1,2,1,10,20996200
Karapakkam,1627,2,2,0,1,30,9071125
Velachery,1846,3,2,0,0,38,10815830
KKNagar,2019,3,2,0,1,15,12802500
Karapakkam,1578,2,2,0,1,13,9532500
Velachery,1780,2,1,1,1,25,13346700
Karapakkam,662,1,1,0,0,38,4356500
Chromepet,1005,1,1,1,0,26,12257100
Karapakkam,839,1,1,0,0,20,4100500
AnnaNagar,1698,1,1,2,0,33,11527430
Adyar,878,1,1,1,1,19,6452785
Chromepet,835,1,1,1,1,37,8434750
Chromepet,911,1,1,1,1,33,7427820
Velachery,1796,2,1,1,1,50,9105350
Karapakkam,1004,1,1,1,0,28,4721500
AnnaNagar,1694,1,1,2,0,27,12575010
Karapakkam,1244,1,1,1,1,31,7952750
Karapakkam,588,1,1,0,0,24,5705500
KKNagar,2342,4,2,0,1,6,12898740
Velachery,1835,3,2,0,0,28,10722580
AnnaNagar,1977,2,1,2,1,43,14102960
KKNagar,1961,3,2,0,1,14,17612900
Velachery,1517,2,1,1,1,12,7146890
KKNagar,2409,4,2,0,1,25,13476480
Velachery,1864,3,2,0,0,23,15100560
Velachery,1643,2,1,1,1,31,15599020
Adyar,1015,1,1,1,1,8,11224620
AnnaNagar,1700,1,1,2,1,31,12477040
Karapakkam,624,1,1,0,0,31,4396250
Chromepet,980,1,1,1,0,17,11900750
Karapakkam,1003,1,1,1,1,20,10090000
Adyar,1072,1,1,1,1,6,6607690
Karapakkam,808,1,1,0,0,35,4752250
Chromepet,1027,1,1,1,0,21,7441350
Karapakkam,696,1,1,0,0,11,6441250
Velachery,1716,2,1,1,1,8,10359860
Velachery,1878,3,2,0,0,6,14328720
KKNagar,1699,2,1,1,1,16,11444100
KKNagar,1626,2,1,1,0,23,9680280
KKNagar,1730,2,1,1,0,18,14739360
Chromepet,996,1,1,1,0,21,8939620
Chromepet,1277,2,1,1,1,16,15710400
Chromepet,906,1,1,1,0,31,10226600
AnnaNagar,1976,2,1,2,0,39,12300050
Velachery,1776,2,1,1,1,21,9989170
Karapakkam,1402,2,2,0,0,30,6966500
Chromepet,1160,1,1,1,1,30,9463900
Velachery,1957,3,2,0,1,25,15199450
TNagar,1887,2,1,2,0,20,20499450
Velachery,1859,3,2,0,1,47,9925210
Chromepet,747,1,1,0,1,5,11223550
Adyar,985,1,1,1,1,7,7379505
Chromepet,1024,1,1,1,1,16,12091400
Velachery,1600,2,1,1,1,25,10530200
Chromepet,1276,2,1,1,0,36,9604120
Chromepet,1159,1,1,1,1,36,9062800
Karapakkam,1024,1,1,1,1,50,4748500
Adyar,1249,2,2,0,0,18,12642285
Chromepet,839,1,1,1,1,16,9107430
Chromepet,1286,2,1,1,0,34,9153300
KKNagar,2467,4,2,0,0,15,12650920
Karapakkam,653,1,1,0,0,15,7635250
Karapakkam,606,1,1,0,1,17,7854000
TNagar,1837,2,1,2,1,28,13197230
Velachery,1880,3,2,0,1,46,13669670
KKNagar,2189,3,2,0,1,22,18249860
Velachery,1853,3,2,0,1,49,14707330
Chromepet,1057,1,1,1,0,17,9144840
Adyar,723,1,1,0,0,27,10969920
TNagar,1812,2,1,2,0,44,12248640
TNagar,1788,1,1,2,1,16,14225180
Velachery,1615,2,1,1,0,18,8019280
AnnaNagar,1755,1,1,2,0,43,11410310
Adyar,1296,2,2,0,0,20,9950600
KKNagar,1554,2,1,1,1,6,9980320
AnnaNagar,1737,1,1,2,1,9,14292780
Karapakkam,785,1,1,0,1,12,5752875
Karapakkam,1678,2,2,0,1,35,11883250
KKNagar,2360,4,2,0,1,9,19816180
KKNagar,1464,2,1,1,1,28,9394640
KKNagar,1632,2,1,1,1,19,10506420
Velachery,1755,2,1,1,1,25,8762820
Velachery,1556,2,1,1,0,20,9348100
Adyar,1170,1,1,1,0,36,9134740
Adyar,901,1,1,1,0,37,7643255
Karapakkam,1160,1,1,1,1,19,8886250
Karapakkam,1570,2,2,0,1,8,6407000
Karapakkam,1476,2,2,0,0,32,11536000
Karapakkam,586,1,1,0,1,19,5333000
Karapakkam,1059,1,1,1,1,33,7849250
TNagar,1712,1,1,2,1,6,13797720
Adyar,847,1,1,1,0,39,7492300
Karapakkam,1192,1,1,1,0,23,5342250
Velachery,1942,3,2,0,1,25,16212650
Karapakkam,557,1,1,0,1,17,4710125
Velachery,1728,2,1,1,1,19,14898480
Velachery,1798,2,1,1,1,28,17060380
Karapakkam,1497,2,2,0,1,34,6931750
Chromepet,1173,1,1,1,1,32,8196400
AnnaNagar,1640,1,1,2,1,36,17704670
KKNagar,1747,2,1,1,1,16,10784680
Karapakkam,1342,2,2,0,1,43,9594250
TNagar,2000,2,1,2,0,27,13596890
Velachery,1987,3,2,0,0,11,11156320
Karapakkam,1567,2,2,0,0,16,7725875
Karapakkam,1188,1,1,1,0,34,9819500
Adyar,737,1,1,0,0,32,3869180
Karapakkam,785,1,1,0,1,13,5852625
KKNagar,2078,3,2,0,0,21,9696820
Adyar,647,1,1,0,1,10,9574550
Karapakkam,1171,1,1,1,1,16,6102625
KKNagar,2435,4,2,0,1,18,20246360
Velachery,1805,3,2,0,1,15,16930470
Karapakkam,1145,1,1,1,0,17,5510250
Karapakkam,971,1,1,1,0,27,6530500
Karapakkam,1657,2,2,0,1,38,10147125
Velachery,1638,2,1,1,1,5,9705900
Adyar,1284,2,2,0,1,5,16107475
Adyar,1273,2,2,0,0,5,7451690
Chromepet,1185,1,1,1,1,20,10163000
TNagar,1538,1,1,2,1,5,19376950
KKNagar,1929,3,2,0,0,29,10173980
KKNagar,1656,2,1,1,1,15,10910100
Adyar,1287,2,2,0,1,15,15013625
TNagar,1749,1,1,2,0,32,11713410
AnnaNagar,1585,1,1,2,0,17,17382790
TNagar,1962,2,1,2,1,33,15862990
KKNagar,1425,2,1,1,0,14,8677280
Karapakkam,884,1,1,0,1,25,8282500
Chromepet,1052,1,1,1,0,10,7926740
TNagar,1756,1,1,2,0,31,12093570
Karapakkam,523,1,1,0,1,37,7390000
Velachery,1524,2,1,1,1,22,11053290
TNagar,1949,2,1,2,1,43,14464930
Chromepet,1263,2,1,1,0,22,10637010
KKNagar,1917,3,2,0,1,18,11045960
KKNagar,1401,2,1,1,0,19,7410200
Chromepet,723,1,1,0,0,17,8645860
TNagar,1660,1,1,2,0,37,17787740
Chromepet,895,1,1,1,1,5,8514750
AnnaNagar,1889,2,1,2,1,45,13841050
Chromepet,1199,1,1,1,0,25,9160580
Karapakkam,782,1,1,0,1,14,7794500
AnnaNagar,1571,1,1,2,1,25,12946530
KKNagar,1848,3,2,0,1,24,15883280
Chromepet,1131,1,1,1,1,20,10089670
Karapakkam,1062,1,1,1,1,21,5335750
KKNagar,1983,3,2,0,1,24,12126880
Velachery,1572,2,1,1,0,20,8165450
AnnaNagar,1535,1,1,2,0,31,11484740
TNagar,1818,2,1,2,1,32,22024740
KKNagar,1484,2,1,1,1,27,9771020
KKNagar,2189,3,2,0,0,15,12071880
Chromepet,1203,2,1,1,0,17,12925550
KKNagar,1610,2,1,1,1,23,15387480
Adyar,863,1,1,1,1,7,6637005
Karapakkam,985,1,1,1,0,20,7446875
Karapakkam,1623,2,2,0,0,38,11658500
Adyar,1019,1,1,1,0,28,6663435
Karapakkam,1575,2,2,0,1,8,9894250
Chromepet,802,1,1,1,0,8,7968490
TNagar,1846,2,1,2,0,34,12403760
Chromepet,759,1,1,0,0,15,8149280
KKNagar,2060,3,2,0,0,30,16012600
KKNagar,1503,2,1,1,1,19,11121040
Velachery,1853,3,2,0,1,48,9462230
TNagar,1739,1,1,2,1,37,20477590
Karapakkam,766,1,1,0,1,50,8755500
Chromepet,857,1,1,1,1,26,8471590
TNagar,1887,2,1,2,0,38,13024030
Karapakkam,1502,2,2,0,0,7,8215250
Velachery,1568,2,1,1,0,30,6361850
Chromepet,918,1,1,1,0,22,10929300
Adyar,1289,2,2,0,0,40,14634500
KKNagar,1941,3,2,0,0,20,12228420
Velachery,1730,2,1,1,1,23,10494410
Velachery,1513,2,1,1,1,27,12350640
Velachery,1762,2,1,1,1,24,9071080
AnnaNagar,1970,2,1,2,1,33,12450910
Velachery,1702,2,1,1,0,44,12225650
Velachery,1726,2,1,1,0,21,6804640
Chromepet,1243,2,1,1,1,8,15495150
Velachery,1550,2,1,1,1,14,12456680
KKNagar,1830,3,2,0,1,14,16312280
Karapakkam,1435,2,2,0,1,33,9753250
Velachery,1729,2,1,1,1,5,10629750
TNagar,1572,1,1,2,1,18,20715860
Chromepet,1145,1,1,1,1,16,14297200
Chromepet,1043,1,1,1,1,29,8317410
Karapakkam,1332,1,1,1,0,44,8261500
Karapakkam,608,1,1,0,1,14,6206250
Adyar,676,1,1,0,1,31,8400465
Velachery,1685,2,1,1,1,36,11104320
Adyar,658,1,1,0,0,38,6083885
Chromepet,1008,1,1,1,0,32,8836160
AnnaNagar,1924,2,1,2,0,31,13620040
KKNagar,2112,3,2,0,0,13,16756460
Chromepet,917,1,1,1,1,37,11889950
Karapakkam,1353,2,2,0,1,7,8573875
AnnaNagar,1694,1,1,2,1,20,14054970
AnnaNagar,1625,1,1,2,1,43,18316110
AnnaNagar,1882,2,1,2,1,5,14761860
TNagar,1924,2,1,2,1,23,22123260
Chromepet,894,1,1,1,0,28,10882400
Karapakkam,904,1,1,1,1,39,6863000
Adyar,1279,2,2,0,0,33,9792910
Velachery,1547,2,1,1,0,47,10090590
Karapakkam,626,1,1,0,0,25,5072750
TNagar,1673,1,1,2,0,44,12156320
Chromepet,1296,2,1,1,1,14,10741020
KKNagar,2194,3,2,0,0,6,16805520
KKNagar,1678,2,1,1,0,15,13586120
Chromepet,702,1,1,0,1,17,8021300
Adyar,1067,1,1,1,1,27,7960405
Chromepet,980,1,1,1,1,25,11847350
KKNagar,1989,3,2,0,1,20,11985600
Chromepet,1257,2,1,1,0,34,13788450
Chromepet,1069,1,1,1,1,21,10080280
Karapakkam,606,1,1,0,0,13,6564750
Karapakkam,1449,2,2,0,1,36,8861500
Karapakkam,1154,1,1,1,0,12,7880000
Adyar,927,1,1,1,0,33,12682895
Karapakkam,1613,2,2,0,1,31,10169625
Velachery,1851,3,2,0,1,55,11959100
Velachery,1511,2,1,1,0,45,10391900
KKNagar,1765,2,1,1,0,29,9338880
Karapakkam,1238,1,1,1,1,17,11329750
Chromepet,934,1,1,1,1,22,8469050
Chromepet,754,1,1,0,1,35,7705800
TNagar,1736,1,1,2,1,10,14057180
Chromepet,980,1,1,1,1,33,8621500
Karapakkam,1299,1,1,1,0,46,9338500
Karapakkam,849,1,1,0,0,36,5668875
KKNagar,1450,2,1,1,1,21,10040420
TNagar,1634,1,1,2,1,31,12730270
Karapakkam,1320,1,1,1,1,6,11071500
Chromepet,769,1,1,0,1,7,7261650
Karapakkam,1150,1,1,1,1,32,6982000
Chromepet,908,1,1,1,0,36,7546960
Karapakkam,1668,2,2,0,1,5,13650500
KKNagar,1990,3,2,0,0,5,10652120
AnnaNagar,1857,2,1,2,0,35,13378610
KKNagar,2061,3,2,0,1,14,17265880
KKNagar,1668,2,1,1,0,11,10044620
KKNagar,1444,2,1,1,0,25,9153720
Chromepet,1121,1,1,1,1,28,9089520
KKNagar,1514,2,1,1,1,22,9075660
Chromepet,1256,2,1,1,1,3,9957800
Karapakkam,672,1,1,0,1,19,5805250
Adyar,908,1,1,1,1,37,13087155
Karapakkam,1631,2,2,0,1,18,9314000
Adyar,1001,1,1,1,1,36,10533755
Velachery,1618,2,1,1,0,48,11462310
KKNagar,2340,4,2,0,1,20,12948200
Karapakkam,1159,1,1,1,0,50,6149625
Velachery,1775,2,1,1,1,25,11031600
Chromepet,1008,1,1,1,0,19,12713050
Velachery,1563,2,1,1,1,11,15664740
KKNagar,1723,2,1,1,1,5,11265520
Velachery,1543,2,1,1,0,46,12900790
Chromepet,1231,2,1,1,0,28,10271420
TNagar,1995,2,1,2,0,32,14154840
KKNagar,2113,3,2,0,0,28,12160420
TNagar,1849,2,1,2,1,24,22084180
Chromepet,1095,1,1,1,1,12,9953350
Karapakkam,1057,1,1,1,0,46,8788500
Karapakkam,841,1,1,0,1,25,6266250
Adyar,693,1,1,0,1,33,6879510
AnnaNagar,1666,1,1,2,0,24,11991280
TNagar,1517,1,1,2,1,43,19817860
AnnaNagar,1854,2,1,2,0,42,19766360
Adyar,789,1,1,0,0,38,8098070
Chromepet,760,1,1,0,1,3,8274000
Chromepet,1137,1,1,1,0,11,8912540
AnnaNagar,1687,1,1,2,1,13,19609810
Karapakkam,984,1,1,1,1,13,5340750
Karapakkam,1662,2,2,0,0,14,12825500
Adyar,1065,1,1,1,0,19,8717385
KKNagar,1621,2,1,1,0,29,9928200
Chromepet,703,1,1,0,1,21,8231860
Chromepet,1221,2,1,1,0,33,9833270
KKNagar,1577,2,1,1,0,11,13277420
Chromepet,989,1,1,1,1,3,10613930
KKNagar,1368,2,1,1,1,27,10801520
KKNagar,2365,4,2,0,1,30,18637600
AnnaNagar,1525,1,1,2,0,32,17566590
Adyar,1180,1,1,1,1,19,9397585
Karapakkam,1122,1,1,1,0,18,6889250
AnnaNagar,1775,1,1,2,1,33,19512010
AnnaNagar,1877,2,1,2,0,30,13064510
Chromepet,760,1,1,0,0,17,8386750
KKNagar,2297,4,2,0,0,17,11569680
Karapakkam,787,1,1,0,1,8,7825375
KKNagar,2317,4,2,0,0,28,10502160
Karapakkam,749,1,1,0,1,34,5286000
Velachery,1616,2,1,1,0,13,9794230
Adyar,1284,2,2,0,1,25,9885575
Chromepet,756,1,1,0,1,38,10478100
Chromepet,1238,2,1,1,0,34,9345900
Chromepet,1236,2,1,1,1,31,9314050
TNagar,1664,1,1,2,0,42,13251910
AnnaNagar,1537,1,1,2,0,19,18331880
Velachery,1731,2,1,1,0,43,13478680
Chromepet,929,1,1,1,1,3,8907400
Chromepet,786,1,1,0,0,20,8185800
Karapakkam,1370,2,2,0,1,14,9125250
Karapakkam,1685,2,2,0,0,38,6922750
TNagar,1549,1,1,2,0,29,12133650
AnnaNagar,1539,1,1,2,1,18,18200410
AnnaNagar,1898,2,1,2,0,41,13485130
Chromepet,918,1,1,1,1,5,11762550
Chromepet,774,1,1,0,1,36,9104380
Chromepet,1072,1,1,1,0,36,11935950
Chromepet,1239,2,1,1,1,22,10881130
KKNagar,1362,2,1,1,0,27,12146740
TNagar,1785,1,1,2,1,31,14128990
KKNagar,2181,3,2,0,1,30,11821400
KKNagar,2033,3,2,0,1,29,12528840
Adyar,952,1,1,1,0,22,10552045
Chromepet,1066,1,1,1,0,30,12406100
Chromepet,1153,1,1,1,1,30,14377300
Velachery,1849,3,2,0,1,15,9487400
Karapakkam,1095,1,1,1,1,32,5472500
Adyar,1100,1,1,1,1,33,10252895
Adyar,1300,2,2,0,0,26,10989305
TNagar,1806,2,1,2,0,32,11838240
AnnaNagar,1897,2,1,2,0,12,12624040
Chromepet,1121,1,1,1,0,23,8288050
Adyar,985,1,1,1,0,31,11903865
Velachery,1782,2,1,1,1,19,10274050
AnnaNagar,1582,1,1,2,0,25,17398770
Chromepet,1225,2,1,1,1,5,9680500
KKNagar,1727,2,1,1,1,23,11855060
Velachery,1712,2,1,1,1,18,15849210
Adyar,1089,1,1,1,1,21,8585715
Velachery,1532,2,1,1,0,52,11452010
KKNagar,1301,1,1,1,1,14,9675500
Adyar,812,1,1,1,0,30,6285850
Chromepet,863,1,1,1,0,36,7813750
Velachery,1686,2,1,1,1,32,10094840
Karapakkam,1332,1,1,1,0,37,11235750
Chromepet,969,1,1,1,1,37,13556150
Adyar,1300,2,2,0,0,35,9023925
Karapakkam,593,1,1,0,1,13,4863375
Chromepet,809,1,1,1,0,36,6511200
Karapakkam,1105,1,1,1,1,6,7511125
Karapakkam,542,1,1,0,0,34,3013500
Karapakkam,1608,2,2,0,0,21,9243750
KKNagar,2271,4,2,0,0,12,17422860
KKNagar,1915,3,2,0,0,10,9917200
KKNagar,2152,3,2,0,0,29,16834800
Adyar,1068,1,1,1,0,39,7586885
Velachery,1810,3,2,0,0,54,8907630
Velachery,1939,3,2,0,1,15,9519320
AnnaNagar,1905,2,1,2,0,25,20591900
Chromepet,1057,1,1,1,1,29,8111350
Velachery,1920,3,2,0,1,41,16484920
TNagar,1577,1,1,2,0,10,11992650
Karapakkam,787,1,1,0,1,16,5256625
TNagar,1916,2,1,2,1,34,14715230
KKNagar,1527,2,1,1,1,21,10829380
Chromepet,1248,2,1,1,0,19,9747000
Velachery,1555,2,1,1,0,43,8762530
KKNagar,2323,4,2,0,0,27,17529340
Chromepet,961,1,1,1,1,18,9198300
Chromepet,849,1,1,1,0,11,8823380
Velachery,1938,3,2,0,1,24,15317750
Chromepet,1147,1,1,1,0,39,10152390
AnnaNagar,1976,2,1,2,1,13,22829130
Karapakkam,973,1,1,1,0,6,6878875
KKNagar,1472,2,1,1,1,6,11506980
AnnaNagar,1689,1,1,2,0,28,13454780
Karapakkam,1208,1,1,1,1,12,12048000
Adyar,1268,2,2,0,0,15,10769525
TNagar,1640,1,1,2,0,8,10342830
Adyar,635,1,1,0,1,16,5597240
Velachery,1996,3,2,0,1,26,11307820
KKNagar,2404,4,2,0,0,21,11040620
Velachery,1675,2,1,1,1,50,13190720
Chromepet,797,1,1,0,0,16,7160890
Karapakkam,1256,1,1,1,0,20,5643000
TNagar,1938,2,1,2,1,5,22181670
Chromepet,757,1,1,0,1,34,11415700
Karapakkam,520,1,1,0,0,32,4849000
Karapakkam,878,1,1,0,1,23,10387250
Adyar,927,1,1,1,1,17,10889570
Velachery,1751,2,1,1,1,23,10358610
Chromepet,764,1,1,0,0,30,8476180
Velachery,1674,2,1,1,0,24,13098030
Velachery,1681,2,1,1,1,14,10644830
AnnaNagar,1976,2,1,2,0,31,21473270
AnnaNagar,1505,1,1,2,0,21,9630420
Karapakkam,888,1,1,0,0,19,6428250
Velachery,1680,2,1,1,1,7,7418190
Karapakkam,631,1,1,0,1,23,6543375
Chromepet,1227,2,1,1,1,4,10787350
Karapakkam,1124,1,1,1,1,41,7827250
AnnaNagar,1962,2,1,2,1,30,22449450
Chromepet,1261,2,1,1,0,12,9718570
Chromepet,1164,1,1,1,0,39,13271000
KKNagar,1313,1,1,1,1,6,9414520
TNagar,1723,1,1,2,1,38,19909630
Adyar,1144,1,1,1,1,36,14926255
Velachery,1740,2,1,1,1,23,16803310
